13.343278 -36.71222  2.75 "   Iot Cen"
13.398750  54.92528  2.27 " 79Zet UMa"
13.399000  54.92167  3.95 " 79Zet UMa"
13.419889 -11.16139  0.98 " 67Alp Vir"
13.517417 -39.40750  3.88 "HR5089"
13.578222  -0.59583  3.37 " 79Zet Vir"
13.664778 -53.46639  2.30 "   Eps Cen"
13.825083 -41.68778  3.41 "   Nu  Cen"
13.792333  49.31333  1.86 " 85Eta UMa"
13.826944 -42.47389  3.04 "   Mu  Cen"
13.925667 -47.28833  2.55 "   Zet Cen"
13.911417  18.39778  2.68 "  8Eta Boo"
13.971194 -42.10083  3.83 "   Phi Cen"
13.978000 -44.80361  3.87 "   Ups1Cen"
14.063722 -60.37306  0.61 "   Bet Cen"
14.106194 -26.68250  3.27 " 49Pi  Hya"
14.111389 -36.37000  2.06 "  5The Cen"
14.073139  64.37583  3.65 " 11Alp Dra"
14.261028  19.18250 -0.04 " 16Alp Boo"
14.323389 -46.05778  3.55 "   Iot Lup"
14.530500  30.37139  3.58 " 25Rho Boo"
14.534639  38.30833  3.03 " 27Gam Boo"
14.591778 -42.15778  2.31 "   Eta Cen"
14.659972 -60.83528 -0.01 "   Alp1Cen"
14.660028 -60.83556  1.33 "   Alp2Cen"
14.708444 -64.97528  3.19 "   Alp Cir"
14.698833 -47.38833  2.30 "   Alp Lup"
14.797667 -79.04472  3.83 "   Alp Aps"
14.699333 -37.79361  4.00 "HR5471"
14.717667  -5.65833  3.88 "107Mu  Vir"
14.749778  27.07417  2.70 " 36Eps Boo"
14.770806   1.89278  3.72 "109    Vir"
14.847972 -16.04167  2.75 "  9Alp2Lib"
14.845083  74.15556  2.08 "  7Bet UMi"
14.975528 -43.13389  2.68 "   Bet Lup"
14.986028 -42.10417  3.13 "   Kap Cen"
15.032444  40.39056  3.50 " 42Bet Boo"
15.067833 -25.28194  3.29 " 20Sig Lib"
15.198917 -48.73778  3.87 "   Kap1Lup"
15.204750 -52.09917  3.41 "   Zet Lup"
15.315167 -68.67944  2.89 "   Gam TrA"
15.258389  33.31472  3.47 " 49Del Boo"
15.283444  -9.38306  2.61 " 27Bet Lib"
15.356194 -40.64750  3.22 "   Del Lup"
15.363444 -36.26139  3.56 "   Phi1Lup"
15.378028 -44.68944  3.37 "   Eps Lup"
15.345472  71.83389  3.05 " 13Gam UMi"
15.415500  58.96611  3.29 " 12Iot Dra"
15.463806  29.10583  3.68 "  3Bet CrB"
15.585694 -41.16694  2.78 "   Gam Lup"
15.592111 -14.78944  3.91 " 38Gam Lib"
15.580028  10.53750  3.80 " 13Del Ser"
15.580028  10.53917  3.80 " 13Del Ser"
15.578139  26.71472  2.23 "  5Alp CrB"
15.617083 -28.13500  3.58 " 39Ups Lib"
15.644278 -29.77778  3.66 " 40Tau Lib"
15.712389  26.29556  3.84 "  8Gam CrB"
15.737806   6.42556  2.65 " 24Alp Ser"
15.769806  15.42194  3.67 " 28Bet Ser"
15.827000  -3.43028  3.53 " 32Mu  Ser"
15.849306 -33.62722  3.95 "  5Chi Lup"
15.846944   4.47778  3.71 " 37Eps Ser"
15.919028 -63.43056  2.85 "   Bet TrA"
15.948083 -29.21417  3.88 "  5Rho Sco"
15.940889  15.66167  3.85 " 41Gam Ser"
15.980861 -26.11417  2.89 "  6Pi  Sco"
16.002028 -38.39694  3.41 "   Eta Lup"
16.005556 -22.62167  2.32 "  7Del Sco"
15.991722  25.92028  2.00 "HR5958"
16.090611 -19.80556  2.62 "  8Bet1Sco"
16.113444 -20.66917  3.96 "  9Ome1Sco"
16.257306 -63.68556  3.85 "   Del TrA"
16.239083  -3.69444  2.74 "  1Del Oph"
16.305361  -4.69250  3.24 "  2Eps Oph"
16.353139 -25.59278  2.89 " 20Sig Sco"
16.329000  46.31333  3.89 " 22Tau Her"
16.365333  19.15306  3.75 " 20Gam Her"
16.557500 -78.89722  3.89 "   Gam Aps"
16.399861  61.51417  2.74 " 14Eta Dra"
16.490111 -26.43194  0.96 " 21Alp Sco"
16.503667  21.48972  2.77 " 27Bet Her"
16.515222   1.98389  3.82 " 10Lam Oph"
16.598056 -28.21611  2.82 " 23Tau Sco"
16.619306 -10.56722  2.56 " 13Zet Oph"
16.688111  31.60306  2.81 " 40Zet Her"
16.811083 -69.02778  1.92 "   Alp TrA"
16.714944  38.92222  3.53 " 44Eta Her"
16.829750 -59.04139  3.76 "   Eta Ara"
16.836056 -34.29333  2.29 " 26Eps Sco"
16.864500 -38.04750  3.08 "   Mu 1Sco"
16.872250 -38.01750  3.57 "   Mu 2Sco"
16.909722 -42.36139  3.62 "   Zet2Sco"
16.977000 -55.99028  3.13 "   Zet Ara"
16.961139   9.37500  3.20 " 27Kap Oph"
17.004833  30.92639  3.92 " 58Eps Her"
17.172972 -15.72472  2.43 " 35Eta Oph"
17.202556 -43.23917  3.33 "   Eta Sco"
17.146444  65.71472  3.17 " 22Zet Dra"
17.244139  14.39028  3.48 " 64Alp1Her"
17.250528  24.83917  3.14 " 65Del Her"
17.250778  36.80917  3.16 " 67Pi  Her"
17.366833 -24.99944  3.27 " 42The Oph"
17.421667 -55.53000  2.85 "   Bet Ara"
17.423222 -56.37750  3.34 "   Gam Ara"
17.518306 -60.68389  3.62 "   Del Ara"
17.512722 -37.29583  2.69 " 34Ups Sco"
17.530694 -49.87611  2.95 "   Alp Ara"
17.560139 -37.10389  1.63 " 35Lam Sco"
17.507222  52.30139  2.79 " 23Bet Dra"
17.622000 -42.99778  1.87 "   The Sco"
17.582250  12.56000  2.08 " 55Alp Oph"
17.626444 -15.39861  3.54 " 55Xi  Ser"
17.708139 -39.03000  2.41 "   Kap Sco"
17.762222 -64.72389  3.62 "   Eta Pav"
17.657750  46.00639  3.80 " 85Iot Her"
17.724556   4.56722  2.77 " 60Bet Oph"
17.793083 -40.12694  3.03 "   Iot1Sco"
17.774306  27.72056  3.42 " 86Mu  Her"
17.798222   2.70722  3.75 " 62Gam Oph"
17.830972 -37.04333  3.21 "HR6630"
17.892139  56.87278  3.75 " 32Xi  Dra"
17.937556  37.25056  3.86 " 91The Her"
17.983778  -9.77361  3.34 " 64Nu  Oph"
17.962750  29.24778  3.70 " 92Xi  Her"
17.943444  51.48889  2.23 " 33Gam Dra"
18.010750   2.93167  3.97 " 67    Oph"
18.110528 -50.09167  3.66 "   The Ara"
18.096806 -30.42417  2.99 " 10Gam2Sgr"
18.122500   9.56389  3.73 " 72    Oph"
18.125722  28.76250  3.83 "103Omi Her"
18.229389 -21.05889  3.86 " 13Mu  Sgr"
18.293778 -36.76167  3.11 "   Eta Sgr"
18.349917 -29.82806  2.70 " 19Del Sgr"
18.355167  -2.89889  3.26 " 58Eta Ser"
18.402861 -34.38472  1.85 " 20Eps Sgr"
18.394972  21.76972  3.84 "109    Her"
18.449556 -45.96833  3.51 "   Alp Tel"
18.466167 -25.42167  2.81 " 22Lam Sgr"
18.350944  72.73278  3.57 " 44Chi Dra"
18.586778  -8.24417  3.85 "   Alp Sct"
18.615639  38.78361  0.03 "  3Alp Lyr"
18.760944 -26.99083  3.17 " 27Phi Sgr"
18.834667  33.36278  3.45 " 10Bet Lyr"
18.921083 -26.29667  2.02 " 34Sig Sgr"
18.962167 -21.10667  3.51 " 37Xi 2Sgr"
18.982389  32.68944  3.24 " 14Gam Lyr"
19.043528 -29.88028  2.60 " 38Zet Sgr"
19.078056 -21.74167  3.77 " 39Omi Sgr"
19.115667 -27.67056  3.32 " 40Tau Sgr"
19.090167  13.86333  2.99 " 17Zet Aql"
19.104139  -4.88250  3.44 " 16Lam Aql"
19.162722 -21.02361  2.89 " 41Pi  Sgr"
19.209250  67.66167  3.07 " 57Del Dra"
19.285056  53.36861  3.77 "  1Kap Cyg"
19.361222 -17.84722  3.93 " 44Rho1Sgr"
19.398111 -40.61611  3.97 "   Alp Sgr"
19.424972   3.11472  3.36 " 30Del Aql"
19.512028  27.95972  3.08 "  6Bet1Cyg"
19.495083  51.72972  3.79 " 10Iot2Cyg"
19.771000  10.61333  2.72 " 50Gam Aql"
19.749583  45.13083  2.87 " 18Del Cyg"
19.789806  18.53417  3.82 "  7Del Sge"
19.846389   8.86833  0.77 " 53Alp Aql"
19.874556   1.00556  3.90 " 55Eta Aql"
19.802889  70.26778  3.83 " 63Eps Dra"
20.009861 -72.91056  3.96 "   Eps Pav"
19.921889   6.40667  3.71 " 60Bet Aql"
19.938444  35.08333  3.89 " 21Eta Cyg"
19.979278  19.49222  3.47 " 12Gam Sge"
20.145444 -66.18194  3.56 "   Del Pav"
20.188417  -0.82139  3.23 " 65The Aql"
20.227194  46.74139  3.79 " 31    Cyg"
20.257861  47.71444  3.98 " 32    Cyg"
20.300917 -12.54472  3.57 "  6Alp2Cap"
20.350194 -14.78139  3.08 "  9Bet Cap"
20.427472 -56.73500  1.94 "   Alp Pav"
20.370472  40.25667  2.20 " 37Gam Cyg"
20.626111 -47.29139  3.11 "   Alp Ind"
20.625833  14.59528  3.63 "  6Bet Del"
20.660639  15.91194  3.77 "  9Alp Del"
20.749306 -66.20306  3.42 "   Bet Pav"
